Id,F_Facial_Index,F_Mandibular_Index,F_Intercanthal,F_OrbitalWidth,F_EyeFissure,F_VermilionHeight,F_MouthFaceWidth
001A02,0.758872388349046,0.3383932922062565,0.25162160721900273,1.286681804441346,0.5240486905263182,0.5990390639972816,0.3243978608796513
001A05,0.9517972624933276,0.5020713993289513,0.20464199963500004,1.4645650103982448,0.5319055237083928,0.6585114070596951,0.3808918039840803
001A08,0.8705618083547537,0.420378279447392,0.23488069942351852,1.2739747553901568,0.3721521683275629,0.3067262186821445,0.3671448959695745
001A10,0.8086821330091332,0.37215820225019175,0.22246958609584797,1.3035375528795008,0.39498229802748624,0.40994383075079227,0.3512895832771301
001A14,0.7906389491817256,0.37828712741769216,0.2398823604755091,1.2139843611894914,0.38426919190370035,0.5120354929150707,0.41009942286402956
001A16,0.9054228768906742,0.4073493035576842,0.2253989480693384,1.3468813984680739,0.44114202610989395,0.6663680997503949,0.37985425271976875
001A18,0.9742134148558083,0.497894230425152,0.22368379792894716,1.3657884308706616,0.4850381469685107,0.9014761277769768,0.45746912242590343
001A19,0.9607352509633715,0.5370505406660671,0.24580502862107467,0.872501431225574,0.44902885031968587,0.8554099473365123,0.35565352278102474
001A22,0.9704964409682694,0.47227995930755334,0.24506890810917764,1.0641570580296393,0.40732791530147344,0.7491820264837571,0.4055407065842618
001A28,0.9864078141076043,0.4830001196017714,0.23199957201012888,1.154078513921812,0.3465980214310032,0.43698886565508976,0.42907117000963085
001A29,0.8235837605465491,0.4177401560699931,0.22443581196826626,1.3188083917546276,0.2659705559720366,0.4637769353857323,0.4265709881930827
001A33,0.9428486652721443,0.4571424875511498,0.24740623561790762,0.8921047980647997,0.23453028631283576,0.5401017059957254,0.43683948801636435
001A40,0.931204929697907,0.44781126483997175,0.20325980676494532,1.145489089878335,0.44590399015571697,0.652860568080744,0.38149911580801893
001A43a,1.0085366502368853,0.4716974851157442,0.24932973184457027,1.1985495025586683,0.5021661111892405,0.4774698227272749,0.375269198511207
001A43b,0.9928880416355979,0.4527500272141062,0.2289423219569671,1.3147414102168782,0.3851709707931828,0.6991993964147533,0.3639032429425249
002A03,0.8000890178766156,0.43095382494348045,0.2488930134693753,1.270020999421686,0.41975765132467274,0.6446909991602507,0.4048271637715334
002A04,0.7858206334685366,0.40336813705431573,0.2362475849528593,1.2742362484313707,0.4687025669664384,0.48135634676527295,0.3195698877920289
